Time period,Time identifier,Geographic level,Country name,Country code,Region name,Region code,LA name,LA code (old),LA code (new),School phase,School Name,School LA Estab ID,URN,Total Revenue Balance (£),B01 Committed revenue balance (£),B02 Uncommitted revenue balance (£),B06 Community focussed extended school revenue balance (£),Total revenue balance as a % of total income
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Nursery,Bensham Grove Nursery School,3901000,108320,17477.58,17477.58,0,0,4.5
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Carr Hill Community Primary School,3902008,108321,253195.4,253195.4,0,0,13.5
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Kelvin Grove Community Primary School,3902012,108323,63920.36,63920.36,0,0,3.7
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,South Street Community Primary School,3902036,108326,5988.7,5988.7,0,0,0.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Bede Community Primary School,3902039,108327,183027.8,183027.8,0,0,12.5
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Oakfield Junior School,3902049,108329,79195.29,79195.29,0,0,7.7
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Larkspur Community Primary School,3902051,108330,123846.7,123846.7,0,0,13.2
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Oakfield Infant School,3902055,108332,58477.27,58477.27,0,0,7.1
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Ravensworth Terrace Primary School,3902056,108333,-138554.3,0,-138554.3,0,-10.2
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Portobello Primary School,3902162,108336,42497.8,42497.8,0,0,4.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Birtley East Community Primary School,3902163,108337,135102,135102,0,0,10.3
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Dunston Hill Community Primary School,3902164,108338,85207.23,85207.23,0,0,3.9
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Emmaville Primary School,3902167,108339,90189.28,90189.28,0,0,5.7
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,High Spen Primary School,3902168,108340,87040.44,87040.44,0,0,8.9
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Swalwell Primary School,3902172,108342,97166.72,97166.72,0,0,8.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Winlaton West Lane Community Primary School,3902177,108346,178229.5,178229.5,0,0,10.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Greenside Primary School,3902181,108348,56784.04,56784.04,0,0,5.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Blaydon West Primary School,3902182,108349,130273.1,130273.1,0,0,14.2
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Front Street Community Primary School,3902184,108350,137382.5,137382.5,0,0,7
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Highfield Community Primary School,3902186,108351,24464.9,24464.9,0,0,2.9
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Ryton Community Infant School,3902188,108352,62799.56,62799.56,0,0,9.6
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Ryton Junior School,3902193,108355,41177.63,41177.63,0,0,5.1
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Washingwell Community Primary School,3902194,108356,34968.1,34968.1,0,0,4.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Bill Quay Primary School,3902197,108357,-32359.72,0,-32359.72,0,-3.3
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Falla Park Community Primary School,3902198,108358,125698,125698,0,0,9.2
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Brandling Primary School,3902200,108359,279001.1,279001.1,0,0,22.9
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Lingey House Primary School,3902205,108360,200327.5,200327.5,0,0,9.5
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,The Drive Community Primary School,3902213,108361,53781.62,53781.62,0,0,5.2
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,White Mere Community Primary School,3902214,108362,-110460.6,0,-110460.6,0,-15
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Clover Hill Community Primary School,3902216,108363,104656.7,104656.7,0,0,11.9
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Crookhill Community Primary School,3902219,108366,13049.28,13049.28,0,0,1.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Brighton Avenue Primary School,3902221,108368,60857.37,60857.37,0,0,3.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Lobley Hill Primary School,3902222,108369,29007.17,29007.17,0,0,1.5
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Wardley Primary School,3902224,108371,169521,169521,0,0,11.8
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Glynwood Community Primary School,3902225,108372,181028.3,181028.3,0,0,9.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Barley Mow Primary School,3902226,108373,-6411.82,0,-6411.82,0,-0.6
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Windy Nook Primary School,3902227,108374,137018.7,137018.7,0,0,9.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Colegate Community Primary School,3902228,108375,20161.96,20161.96,0,0,2.1
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Roman Road Primary School,3902229,108376,117142.6,117142.6,0,0,10.7
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Fellside Community Primary School,3902231,108378,25491.38,25491.38,0,0,2.6
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Fell Dyke Community Primary School,3902232,108379,225302.2,225302.2,0,0,12.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Caedmon Community Primary School,3902233,108380,138984.8,138984.8,0,0,11.1
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Kells Lane Primary School,3902234,131106,18867.23,18867.23,0,0,1.1
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Chopwell Primary School,3902235,131107,222194.6,204152.1,0,18042.5,16.6
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Parkhead Community Primary School,3902236,131466,99339.7,99339.7,0,0,5.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Aidan's Church of England Primary School,3902237,132145,96317.34,96317.34,0,0,7.8
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Harlow Green Community Primary School,3902238,131077,311933.6,311933.6,0,0,14.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Rowlands Gill Community Primary School,3902239,131081,-137903.1,0,-137903.1,0,-8.1
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Whickham Parochial Church of England Primary School,3903001,108381,25412.52,25412.52,0,0,2.9
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Corpus Christi Catholic Primary School,3903313,108382,216778.1,216778.1,0,0,20.2
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Joseph's Roman Catholic Voluntary Aided Primary School Gateshead,3903317,108383,139242,139242,0,0,13.7
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Oswald's Roman Catholic Voluntary Aided Primary School,3903318,108384,134947.3,134947.3,0,0,12.7
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Peter's Roman Catholic Voluntary Aided Primary School,3903319,108385,39400.82,39400.82,0,0,4.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Anne's Catholic Primary School,3903322,108386,72780.2,72780.2,0,0,10.7
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Joseph's Catholic Junior School Birtley,3903324,108388,94309.27,94309.27,0,0,15.2
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Joseph's Catholic Infant School Birtley,3903325,108389,103264,103264,0,0,20.9
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Agnes' Catholic Primary School,3903326,108390,50596.48,50596.48,0,0,6
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Joseph's Roman Catholic Voluntary Aided Primary School Highfield,3903327,108391,71788.41,71788.41,0,0,12.7
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Mary and St Thomas Aquinas Catholic Primary School,3903328,108392,41609.9,41609.9,0,0,4.1
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Philip Neri Roman Catholic Primary School,3903330,108394,61450.81,61450.81,0,0,6.7
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Joseph's Catholic Primary School Blaydon,3903331,108395,66817.77,66817.77,0,0,7.2
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Mary's Roman Catholic Primary School,3903333,108396,42581.78,42581.78,0,0,4.7
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Alban's Catholic Primary School,3903335,108398,31953.41,31953.41,0,0,3.1
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Augustine's Catholic Primary School,3903336,108399,119710.8,119710.8,0,0,7.6
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Wilfrid's Roman Catholic Voluntary Aided Primary School,3903339,108400,27224.5,27224.5,0,0,3.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Secondary,Kingsmeadow Community Comprehensive School,3904041,108410,178682.5,178682.5,0,0,3.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Special,Furrowfield School,3907006,108426,85228.78,85228.78,0,0,4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Special,Gibside School,3907007,131213,677769.9,677769.9,0,0,19.5
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Special,Hill Top School,3907008,130942,48517.55,48517.55,0,0,2
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Special,Dryden School,3907009,131200,-30517.61,0,-30517.61,0,-2.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Special,Eslington Primary School,3907010,133397,35188.33,35188.33,0,0,2.4
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Nursery,Ashfield Nursery School,3911000,108427,11378.43,0,8008.43,3370,1.9
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Nursery,Cruddas Park Early Years Centre,3911001,108428,-133557.2,0,-157892.7,24335.5,-59.4
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Nursery,Newburn Manor Nursery School,3911004,108430,85763.56,46194.57,40933.56,-1364.57,21.1
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Nursery,Monkchester Road Nursery School,3911005,108431,212995.2,43475,169520.2,0,25.1
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Dinnington First School,3912000,108437,81669.66,49830,29359.66,2480,9.6
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Archibald First School,3912001,108438,136456,220.47,136456,-220.47,9.5
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,South Gosforth First School,3912002,108439,62552.14,0,62552.14,0,5.7
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Regent Farm First School,3912003,108440,252349.2,0,239224.2,13125,15.5
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Gosforth Park First School,3912005,108442,25332.13,0,25332.13,0,2.3
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Broadway East First School,3912006,108443,123226.3,26080,95326.31,1820,12.9
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Grange First School,3912009,108444,3188.95,0,-17629.64,20818.59,0.2
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Throckley Primary School,3912012,108446,209447.6,12012,197435.6,0,12.3
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Newburn Manor Primary School,3912013,108447,121982.1,48626,73356.08,0,12.2
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,West Denton Primary School,3912015,108449,204320.5,50301.98,153500.5,518.02,12.3
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Knop Law Primary School,3912016,108450,-18424.67,0,-18424.67,0,-1.2
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Milecastle Primary School,3912017,108451,31608.57,0,31608.57,0,3.5
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Waverley Primary School,3912020,108453,-6664.11,0,-6664.11,0,-0.5
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Simonside Primary School,3912021,108454,80132.28,0,80132.28,0,5.7
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Lemington Riverside Primary School,3912030,108456,54065.49,43767,9298.49,1000,6.6
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Westerhope Primary School,3912031,108457,90806.7,0,67172.4,23634.3,4.8
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Byker Primary School,3912032,108458,143882.6,0,143882.6,0,5.5
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,West Jesmond Primary School,3912033,131203,101012.9,0,-97294.52,198307.4,3.7
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Benton Park Primary School,3912050,108459,53808.06,17986.93,33261.83,2559.3,3
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Hawthorn Primary School,3912080,108460,175461.1,0,175461.1,0,12.8
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Canning Street Primary School,3912090,108461,440032.3,98125.91,422974.3,-81067.91,17.5
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Chillingham Road Primary School,3912100,108463,143020.3,68823.87,69980.33,4216.13,11.8
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Cragside Primary School,3912170,108465,71695.66,0,71695.66,0,4.1
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Bridgewater Primary School,3912210,108466,189944.2,21743,96242.46,71958.74,7.3
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Broadwood Primary School,3912225,108468,132138.3,0,132138.3,0,7.5
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Ravenswood Primary School,3912670,108475,394773.1,125990,268783.1,0,14.6
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Johns Primary School,3912720,108476,174557.8,43853.93,174557.8,-43853.93,12.6
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Wingrove Primary School,3912960,108487,270640.7,195350,75290.73,0,12.6
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Hotspur Primary School,3912998,108491,283652.5,215773.2,63672.49,4206.83,14.1
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Moorside Primary School,3912999,108492,245089.9,44701,200388.9,0,10.8
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Christ Church CofE Primary School,3913321,108493,22520.1,0,22520.1,0,2.7
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Archbishop Runcie CofE First School,3913471,108495,-35386.76,0,-35386.76,0,-4.4
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Charles' RC Primary School,3913472,108496,139273.6,62134.35,66020.6,11118.65,13.4
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Oswald's RC Primary School,3913473,108497,49534.15,14130,35404.15,0,5.8
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Mark's RC Primary School,3913474,108498,135169.7,0,135169.7,0,11.9
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St George's RC Primary School,3913475,108499,162956.7,57410,108316.7,-2770,19.5
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Cuthbert's RC Primary School,3913476,108500,149313.4,79576.82,69536.42,200.18,17.1
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St John Vianney RC Primary School,3913477,108501,92152.32,50966,41186.32,0,6.2
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Paul's CofE Primary School,3913485,108502,68184.58,0,67951.77,232.81,5.1
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,English Martyrs' RC Primary School,3913650,108503,477702.6,45416.73,357550.6,74735.27,23.6
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Sacred Heart RC Primary School,3913662,108504,54299.01,0,54299.01,0,4.9
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Bede's RC Primary School,3913762,108505,130803.2,0,130803.2,0,13.1
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Cuthbert's Catholic Primary School,3913765,108506,136834.9,0,132044.3,4790.6,11.8
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Catherine's RC Primary School,3913778,108507,-171.03,0,-4977.25,4806.22,0
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Joseph's Catholic Primary School,3913781,108508,118413.5,30900,87513.45,0,10.8
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Lawrence's RC Primary School,3913792,108509,70741.8,11710,59031.8,0,5.7
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Our Lady and St Anne's RC Primary School,3913799,108510,28666.12,12488.07,11756.12,4421.93,2.4
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Teresa's Catholic Primary School,3913835,108513,217025.6,24912.39,185005.6,7107.61,19.9
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Vincent's RC Primary School,3913842,108514,466114.2,391100,75014.16,0,39.8
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Alban's RC Primary School,3913874,108515,131082.7,94250,36832.69,0,11.4
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Brunton First School,3913875,135286,278401,0,278401,0,17
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Middle deemed secondary,Gosforth Central Middle School,3914190,108519,393643.4,66150,327493.4,0,15.7
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Middle deemed secondary,Gosforth East Middle School,3914305,108521,116421.8,0,114513,1908.7,4.7
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Secondary,Walbottle Campus,3914430,108524,337052.8,0,315874.8,21178.09,3.2
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Secondary,Heaton Manor School,3914494,108531,302890.8,148033,152677.8,2180,3
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Special,Hadrian School,3917034,131986,-49060.57,0,-49060.57,0,-1.2
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Special,Sir Charles Parsons School,3917035,131987,320704.2,104490,216214.2,0,9.1
201819,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Special,Thomas Bewick School,3917036,131988,405346.4,0,405346.4,0,9.8
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Nursery,Sir James Knott Memorial Nursery School,3921001,108563,8671.48,0,8671.48,0,2.1
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Pupil referral unit,Moorbridge,3921100,108565,-2615.75,0,-2615.75,0,-0.1
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Cullercoats Primary School,3922000,108569,97436.67,13661,83775.67,0,5.1
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Waterville Primary School,3922004,108571,32669.78,0,32669.78,0,2.4
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Percy Main Primary School,3922008,108572,-55009.07,5010,-60019.07,0,-4.8
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,King Edward Primary School,3922013,108573,11421.84,0,11421.84,0,0.5
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Spring Gardens Primary School,3922016,108574,72136.81,16323.93,55812.88,0,3.8
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Riverside Primary School,3922021,108575,67885.09,10072,57813.09,0,6.9
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Monkhouse Primary School,3922022,108576,89945.14,12828.86,77116.28,0,7.9
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Whitehouse Primary School,3922024,108577,79776.2,19024.46,60751.74,0,7
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Preston Grange Primary School,3922026,108578,30594.04,11236,19358.04,0,3.1
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Shiremoor Primary School,3922031,108579,222857.8,74158,148699.8,0,10.7
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Backworth Park Primary School,3922032,108580,-13097.03,17173,-30270.03,0,-1.5
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Holystone Primary School,3922036,108581,-33850.58,0,-33850.58,0,-1.8
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Westmoor Primary School,3922037,108582,34006.71,10199.52,23807.19,0,2.2
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Rockcliffe First School,3922041,108583,17649.96,0,17649.96,0,1.5
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Appletree Gardens First School,3922042,108584,106377.4,26867.92,79509.49,0,7.1
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Southridge First School,3922046,108585,163173.3,60454,102719.3,0,12.5
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Amberley Primary School,3922048,108586,21634.75,0,21634.75,0,1.2
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Bailey Green Primary School,3922054,108587,414347.7,43145,192871.7,178331,16
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,South Wellfield First School,3922055,108588,119343.5,45652,73691.46,0,9.3
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Marine Park First School,3922058,108589,45813.15,2000,43813.15,0,1.9
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Coquet Park First School,3922059,108590,33113.98,4257,28856.98,0,3.8
201819,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Langley First School,3922060,108591,145547.4,49210,96337.36,0,10.2
